,Measures,Single operand,Numerator,Denominator
0,number of farm roads graveled,,,
1,total area of land cultivated,['total area of land cultivated'],,
2,percent access to buy farm land,,,
3,percent land used,,,
4,percent land utilization rate,,,
5,percentage of arable land _percentage of land area_,,['arable land'],['Total number of land area']
6,percentage of farm roads upgraded,,['farm roads upgraded'],['Total number of farm roads']
7,percentage of mixed farming,,['mixed farming'],"[""Total number of ['mixed', 'farming']""]"
8,percentage of specialized farming,,['specialized farming'],"[""Total number of ['specialized', 'farming']""]"
9,average land prices per square meter,,,
10,average land rents per square meter,,,
11,organic crop yields from fully converted areas,,,
12,total area under organic farming,['total area under organic farming'],,
13,total crops products area,['total crops products area'],,
14,total grassland,['total grassland'],,
15,total organic crop area,['total organic crop area'],,
16,total rape area,['total rape area'],,
17,total small_fruited citrus area ,['total small_fruited citrus area '],,
18,number of tones of cereals production,,,
19,number of tones of fruits production,,,
20,number of tones of vegetables production,,,
21,number of tones of wheat production,,,
22,percent change in fruits production,,,
23,percent change in vegetables production,,,
24,percent change in wheat production,,,
25,percent degree of self sufficiency,,,
26,percent increase in production,,,
27,main crops production ,,,
28,total volume of production potential,['total volume of production potential'],,
29,value of agricultural farm output,,,
30,number of small_fruited citrus trees,,,
31,number of trees damaged,,,
32,amount of trees planted versus actual planted by percent,,,
33,total number of trees,,,
34,total trees area ,['total trees area '],,
35,total trees cut per year,['total trees cut per year'],,
36,number of farm machinery,,,
37,number of full_time regular farm labor force,,,
38,number of greenhouses,,,
39,number of part_time regular farm labor force,,,
40,number of square meters of land cleared and restored to productive use,,,
41,number of storage facilities,,,
42,number of crop development programs,,,
43,number of culverts installed,,,
44,number of drains constructed,,,
45,number of drains de_silted,,,
46,number of dryers,,,
47,number of hybrid varieties planted,,,
48,number of lots bund leveling completed,,,
49,number of nurseries for seedling production,,,
50,number of total area of land cultivated,,,
51,number of total quantity of fertilizers_ chemicals and other agro_inputs ,,,
52,percent availability of resources,,,
53,percent management structures and systems are up to standards,,,
54,percentage of crop extension projects completed satisfactory,,['crop extension projects completed'],['Total number of crop extension projects']
55,percentage of weather days impact on production,,['weather days'],['Total number of production']
56,average number of harvest per year,,,
57,milling efficiency rate,,,
58,total quantity of seeds used at the farm,['total quantity of seeds used at the farm'],,
59,total quantity of seeds used at the farm from its own production,['total quantity of seeds used at the farm from its own production'],,
