,Measures,Single_operand,Numerator,Denominator
0,average,['rule is not in json or something is missing'],['rule is not in json or something is missing'],['rule is not in json or something is missing']
1,average annual salary per employee,,[' annual salary per employee '],[' employee ']
2,average â€˜time to approveâ€™ for changes,,[' â€˜time to approveâ€™ for changes '],[' approveâ€™ for changes ']
3,average â€˜time to planâ€™ for changes,,[' â€˜time to planâ€™ for changes '],[' planâ€™ for changes ']
4,average abandonment time,,[' abandonment time '],['average abandonment time ']
5,average absence reporting frequency per emplyee,,[' absence reporting frequency per emplyee '],[' emplyee ']
6,average absenteeism per employee,,[' absenteeism per employee '],[' employee ']
7,average account balance,,[' account balance '],['average account balance ']
8,average account executive tenure,,[' account executive tenure '],['average account executive tenure ']
9,average act or sat scores,,[' act or sat scores '],['average act or sat scores ']
10,average act score of freshman class,,[' act score of freshman class '],[' freshman class ']
11,average actual yield for active pharmaceutical ingredients,,[' actual yield for active pharmaceutical ingredients '],['average actual yield for active pharmaceutical ingredients ']
12,average actual yield for oral and topical,,[' actual yield for oral and topical '],['average actual yield for oral and topical ']
13,average administrative time per sales person,,[' administrative time per sales person '],[' sales person ']
14,average admissions application response timing,,[' admissions application response timing '],['average admissions application response timing ']
15,average admissions telephone response timing,,[' admissions telephone response timing '],['average admissions telephone response timing ']
16,average advertisement position,,[' advertisement position '],['average advertisement position ']
17,average after call work time,,[' after call work time '],['average after call work time ']
18,average after call work time work done after call has been concluded,,[' after call work time work done after call has been concluded '],['average after call work time work done after call has been concluded ']
19,average after call work time _work done after call has been concluded,,[' after call work time _work done after call has been concluded '],['average after call work time _work done after call has been concluded ']
20,average after_call work time,,[' after_call work time '],['average after_call work time ']
21,average age,,[' age '],['average age ']
22,average age in years of the vehicles in the companys fleet,,[' age in years of the vehicles in the companys fleet '],[' years of the vehicles in the companys fleet ']
23,average age in years of workforce,,[' age in years of workforce '],[' years of workforce ']
24,average age _ marketing officers,,[' age _ marketing officers '],['average age _ marketing officers ']
25,average age _specialist,,[' age _specialist '],['average age _specialist ']
26,average age at which employed persons started receiving a retirement pension,,[' age at which employed persons started receiving a retirement pension '],['average age at which employed persons started receiving a retirement pension ']
27,average age at which not employed persons started receiving a retirement pension,,[' age at which not employed persons started receiving a retirement pension '],['average age at which not employed persons started receiving a retirement pension ']
28,average age delinquent accounts,,[' age delinquent accounts '],['average age delinquent accounts ']
29,average age of active users,,[' age of active users '],[' active users ']
30,average age of assets,,[' age of assets '],[' assets ']
31,average age of delinquent accounts,,[' age of delinquent accounts '],[' delinquent accounts ']
32,average age of discharged not final billed _dnfb accounts,,[' age of discharged not final billed _dnfb accounts '],[' discharged not final billed _dnfb accounts ']
33,average age of discharged not final billed accounts,,[' age of discharged not final billed accounts '],[' discharged not final billed accounts ']
34,average age of employees that retire,,[' age of employees that retire '],[' employees that retire ']
35,average age of equipment,,[' age of equipment '],[' equipment ']
36,average age of fleet,,[' age of fleet '],[' fleet ']
37,average age of hardware assets,,[' age of hardware assets '],[' hardware assets ']
38,average age of inventory,,[' age of inventory '],[' inventory ']
39,average age of knowledge assets,,[' age of knowledge assets '],[' knowledge assets ']
40,average age of mother,,[' age of mother '],[' mother ']
41,average age of order backlog,,[' age of order backlog '],[' order backlog ']
42,average age of patents,,[' age of patents '],[' patents ']
43,average age of pending unemployment insurance appeal cases,,[' age of pending unemployment insurance appeal cases '],[' pending unemployment insurance appeal cases ']
44,average age of pending unemployment insurance cases,,[' age of pending unemployment insurance cases '],[' pending unemployment insurance cases ']
45,average age of people who like your page,,[' age of people who like your page '],[' people who like your page ']
46,average age of plant,,[' age of plant '],[' plant ']
47,average age of project status reports,,[' age of project status reports '],[' project status reports ']
48,average age of the vehicle fleet,,[' age of the vehicle fleet '],[' the vehicle fleet ']
49,average age of workforce,,[' age of workforce '],[' workforce ']
50,average age range of employees,,[' age range of employees '],[' employees ']
51,average age receiving a retirement pension,,[' age receiving a retirement pension '],['average age receiving a retirement pension ']
52,average ageat weaning,,[' ageat weaning '],['average ageat weaning ']
53,average aircraft landing fee,,[' aircraft landing fee '],['average aircraft landing fee ']
54,average amount collected per day by the healthcare providers,,[' amount collected per day by the healthcare providers '],[' day by the healthcare providers ']
55,average amount in us dollar of claims paid to enrolled plan members during a period of time,,[' amount in us dollar of claims paid to enrolled plan members during a period of time '],[' us dollar of claims paid to enrolled plan members during a period of time ']
56,average amount of alcohol standard drinks consumed per day,,[' amount of alcohol standard drinks consumed per day '],[' alcohol standard drinks consumed per day ']
57,average amount of days past due for an individual account managed by collection agency,,[' amount of days past due for an individual account managed by collection agency '],[' days past due for an individual account managed by collection agency ']
58,average amount of days required to process and set up a new investment customer account,,[' amount of days required to process and set up a new investment customer account '],[' days required to process and set up a new investment customer account ']
59,average amount of impressions,,[' amount of impressions '],[' impressions ']
60,average amount of late charges accrued per month,,[' amount of late charges accrued per month '],[' late charges accrued per month ']
61,average amount of link clicks,,[' amount of link clicks '],[' link clicks ']
62,average amount of order placed,,[' amount of order placed '],[' order placed ']
63,average amount of overspending on project budget,,[' amount of overspending on project budget '],[' overspending on project budget ']
64,average amount of overspending on project time,,[' amount of overspending on project time '],[' overspending on project time ']
65,average amount of profit earned per sale made by outside sales representatives,,[' amount of profit earned per sale made by outside sales representatives '],[' profit earned per sale made by outside sales representatives ']
66,average amount of profit generated by the gas company per installed gas connection managed,,[' amount of profit generated by the gas company per installed gas connection managed '],[' profit generated by the gas company per installed gas connection managed ']
67,average amount of profit generated per account by an telephone inside sales representative,,[' amount of profit generated per account by an telephone inside sales representative '],[' profit generated per account by an telephone inside sales representative ']
68,average amount of recovered debt for a single collector over the period of a single work hour,,[' amount of recovered debt for a single collector over the period of a single work hour '],[' recovered debt for a single collector over the period of a single work hour ']
69,average amount of refund per order,,[' amount of refund per order '],[' refund per order ']
70,average amount of storage capacity in a particular warehouse facility that is currently being used,,[' amount of storage capacity in a particular warehouse facility that is currently being used '],[' storage capacity in a particular warehouse facility that is currently being used ']
71,average amount of support provided,,[' amount of support provided '],[' support provided ']
72,average amount of time days between the registration of changes and their closure,,[' amount of time days between the registration of changes and their closure '],[' time days between the registration of changes and their closure ']
73,average amount of time hours needed to place an order,,[' amount of time hours needed to place an order '],[' time hours needed to place an order ']
74,average amount of time in days elapsed between internal audits,,[' amount of time in days elapsed between internal audits '],[' time in days elapsed between internal audits ']
75,average amount of time between the registration of incidents and their closure,,[' amount of time between the registration of incidents and their closure '],[' time between the registration of incidents and their closure ']
76,average amount of time elapsed between formal sales representative performance reviews or appraisals,,[' amount of time elapsed between formal sales representative performance reviews or appraisals '],[' time elapsed between formal sales representative performance reviews or appraisals ']
77,average amount of time needed to certify and add a vendor into the vendor procurement system,,[' amount of time needed to certify and add a vendor into the vendor procurement system '],[' time needed to certify and add a vendor into the vendor procurement system ']
78,average amount of time needed to research resolve and document a failed trade,,[' amount of time needed to research resolve and document a failed trade '],[' time needed to research resolve and document a failed trade ']
79,average amount of time needed to setup new customer accounts,,[' amount of time needed to setup new customer accounts '],[' time needed to setup new customer accounts ']
80,average amount of time required to cancel an existing customer account,,[' amount of time required to cancel an existing customer account '],[' time required to cancel an existing customer account ']
81,average amount of time required to handle a single incoming call,,[' amount of time required to handle a single incoming call '],[' time required to handle a single incoming call ']
82,average annual boarding fee,,[' annual boarding fee '],['average annual boarding fee ']
83,average annual earnings staff,,[' annual earnings staff '],['average annual earnings staff ']
84,average annual earnings per staff,,[' annual earnings per staff '],[' staff ']
85,average annual expenses to serve one customer,,[' annual expenses to serve one customer '],[' serve one customer ']
86,average annual hours actually worked per worker,,[' annual hours actually worked per worker '],[' worker ']
87,average annual inventory,,[' annual inventory '],['average annual inventory ']
88,average annual loss of lives in cyclones,,[' annual loss of lives in cyclones '],[' lives in cyclones ']
89,average annual loss of lives in earthquake,,[' annual loss of lives in earthquake '],[' lives in earthquake ']
